Fecha,Precio Cierre,Inflacion Acumulada,Precio Ajustado,PIB US,Retorno
2017-07-17,45,0.317,59.265,3.4,4.166664834104966
2017-07-18,43.20000076,0.317,56.89440100092,3.4,-3.9999983111111073
2017-07-19,44.63999939,0.317,58.790879196629994,3.4,3.3333301033951135
2017-07-20,44.63999939,0.317,58.790879196629994,3.4,0
2017-07-21,43.56000137,0.317,57.36852180429,3.4,-2.4193504362859217
2017-07-24,44.09999847,0.317,58.07969798499,3.4,1.2396627250152008
2017-07-25,43.20000076,0.317,56.89440100092,3.4,-2.0408112045905042
2017-07-26,42.84000015,0.317,56.42028019755,3.4,-0.8333347307098523
2017-07-27,38.34000015,0.317,50.49378019755,3.4,-10.50420164389285
2017-07-28,36.90000153,0.317,48.597302015009994,3.4,-3.7558649305326206
2017-07-31,33.29999924,0.317,43.85609899908,3.4,-9.756103362416308
2017-08-01,34.20000076,0.336,45.69120101536001,3.4,2.7027073289506887
2017-08-02,34.20000076,0.336,45.69120101536001,3.4,0
2017-08-03,36.90000153,0.336,49.29840204408,3.4,7.894738918128595
2017-08-04,34.20000076,0.336,45.69120101536001,3.4,-7.31707495406165
2017-08-07,34.20000076,0.336,45.69120101536001,3.4,0
2017-08-08,32.93999863,0.336,44.00783816968,3.4,-3.684216672514494
2017-08-09,30.60000038,0.336,40.881600507680005,3.4,-7.103820119375631
2017-08-10,26.10000038,0.336,34.869600507680005,3.4,-14.705882170319109
2017-08-11,26.10000038,0.336,34.869600507680005,3.4,0
2017-08-14,23.94000053,0.336,31.98384070808,3.4,-8.275861373761414
2017-08-15,20.700000760000002,0.336,27.655201015360003,3.4,-13.533833326109775
2017-08-16,21.60000038,0.336,28.857600507680004,3.4,4.347824091577468
2017-08-17,22.5,0.336,30.06,3.4,4.166664834104966
2017-08-18,22.86000061,0.336,30.54096081496,3.4,1.6000027111111117
2017-08-21,20.700000760000002,0.336,27.655201015360003,3.4,-9.448817989335996
2017-08-22,18.89999962,0.336,25.25039949232,3.4,-8.695657361898583
2017-08-23,19.799999239999998,0.336,26.45279898464,3.4,4.761902847064709
2017-08-24,20.700000760000002,0.336,27.655201015360003,3.4,4.545462396694535
2017-08-25,21.23999977,0.336,28.37663969272,3.4,2.608690773787193
2017-08-28,19.799999239999998,0.336,26.45279898464,3.4,-6.779663585655503
2017-08-29,20.700000760000002,0.336,27.655201015360003,3.4,4.545462396694535
2017-08-30,18.89999962,0.336,25.25039949232,3.4,-8.695657361898583
2017-08-31,19.799999239999998,0.336,26.45279898464,3.4,4.761902847064709
2017-09-01,19.799999239999998,0.358,26.88839896792,3.4,0
2017-09-05,20.700000760000002,0.358,28.110601032080005,3.4,4.545462396694535
2017-09-06,20.700000760000002,0.358,28.110601032080005,3.4,0
2017-09-07,19.799999239999998,0.358,26.88839896792,3.4,-4.347833270321114
2017-09-08,21.60000038,0.358,29.33280051604,3.4,9.090915197429082
2017-09-11,21.42000008,0.358,29.088360108640003,3.4,-0.8333347075617026
2017-09-12,21.60000038,0.358,29.33280051604,3.4,0.8403375318754884
2017-09-13,21.60000038,0.358,29.33280051604,3.4,0
2017-09-14,22.5,0.358,30.555000000000003,3.4,4.166664834104966
2017-09-15,21.60000038,0.358,29.33280051604,3.4,-3.9999983111111073
2017-09-18,20.700000760000002,0.358,28.110601032080005,3.4,-4.166664834104966
2017-09-19,20.700000760000002,0.358,28.110601032080005,3.4,0
2017-09-20,21.60000038,0.358,29.33280051604,3.4,4.347824091577468
2017-09-21,21.23999977,0.358,28.84391968766,3.4,-1.6666694614197046
2017-09-22,21.60000038,0.358,29.33280051604,3.4,1.6949181445306587
2017-09-25,20.700000760000002,0.358,28.110601032080005,3.4,-4.166664834104966
2017-09-26,21.42000008,0.358,29.088360108640003,3.4,3.478257456836922
2017-09-27,20.87999916,0.358,28.355038859280004,3.4,-2.5210126889971542
2017-09-28,20.700000760000002,0.358,28.110601032080005,3.4,-0.862061337362615
2017-09-29,20.700000760000002,0.358,28.110601032080005,3.4,0
2017-10-02,20.700000760000002,0.37799999999999995,28.52460104728,4.1,0
2017-10-03,23.39999962,0.37799999999999995,32.24519947635999,4.1,13.043472274732403
2017-10-04,27.89999962,0.37799999999999995,38.44619947635999,4.1,19.23076954306378
2017-10-05,27,0.37799999999999995,37.206,4.1,-3.225805133541429
2017-10-06,27,0.37799999999999995,37.206,4.1,0
2017-10-09,29.700000760000002,0.37799999999999995,40.92660104728,4.1,10.000002814814822
2017-10-10,27,0.37799999999999995,37.206,4.1,-9.090911417202273
2017-10-11,27.89999962,0.37799999999999995,38.44619947635999,4.1,3.3333319259259224
2017-10-12,27,0.37799999999999995,37.206,4.1,-3.225805133541429
2017-10-13,27.89999962,0.37799999999999995,38.44619947635999,4.1,3.3333319259259224
2017-10-16,24.84000015,0.37799999999999995,34.2295202067,4.1,-10.967740185223693
2017-10-17,24.299999239999998,0.37799999999999995,33.48539895272,4.1,-2.1739166937968126
2017-10-18,25.200000760000002,0.37799999999999995,34.72560104728,4.1,3.7037100746839515
2017-10-19,23.39999962,0.37799999999999995,32.24519947635999,4.1,-7.142861451247046
2017-10-20,22.5,0.37799999999999995,31.005,4.1,-3.8461522846811014
2017-10-23,24.299999239999998,0.37799999999999995,33.48539895272,4.1,7.9999966222222145
2017-10-24,22.86000061,0.37799999999999995,31.50108084058,4.1,-5.925920473403266
2017-10-25,23.94000053,0.37799999999999995,32.98932073034,4.1,4.724408972795731
2017-10-26,24.12000084,0.37799999999999995,33.23736115752,4.1,0.7518809775063965
2017-10-27,23.39999962,0.37799999999999995,32.24519947635999,4.1,-2.9850795809507953
